state,district,year,crop,groundwater_ph,ec_groundwater_(µs/cm),hardness_groundwater_(mg/l),nitrate_groundwater_(mg/l),rainfall_mm,soil_ph,soil_organic_carbon,soil_nitrogen,soil_phosphorus,soil_potassium,crop_yield
Maharashtra,Nandurbar,2022,Cotton,7.96,896.5,353.58,31.6,778,7.45,0.66,271.25,15.21,251,575
Maharashtra,Nandurbar,2022,Sugarcane,7.68,914.82,354.97,31.27,792,7.5,0.68,271.25,14.85,240,91
Maharashtra,Ahmednagar,2020,Wheat,7.79,1193.78,251.21750000000006,19.5,801,7.99,0.69,220.0,22.5,209,1600
Maharashtra,Ahmednagar,2020,Rice,7.95,1228.88,251.21750000000006,19.37,775,7.5,0.71,210.0,22.99,201,3400
Maharashtra,Ahmednagar,2020, Bajra,7.97,1188.34,251.21750000000006,18.93,811,7.56,0.69,212.0,21.68,201,1200
Maharashtra,Ahmednagar,2020,Cotton,7.89,1190.31,251.21750000000006,19.82,767,7.67,0.72,216.0,22.48,208,650
Maharashtra,Ahmednagar,2020,Sugarcane,7.99,1182.45,251.21750000000006,19.67,798,7.57,0.7,208.0,22.52,207,110
Maharashtra,Akola,2020,Wheat,7.72,1519.92,268.13,36.46,795,7.44,0.44,199.0,21.72,263,1450
Maharashtra,Akola,2020,Rice,7.62,1575.3,268.12,36.12,769,7.25,0.47,205.0,21.47,265,3100
Maharashtra,Akola,2020, Bajra,7.74,1550.51,271.95,37.1,773,7.48,0.45,196.0,21.35,273,1000
Maharashtra,Akola,2020,Cotton,7.87,1512.73,260.28,36.2,750,7.33,0.44,199.0,21.27,269,620
Maharashtra,Akola,2020,Sugarcane,7.6,1543.64,261.3,35.83,764,7.38,0.46,205.0,20.77,258,95
Maharashtra,Amravati,2020,Wheat,7.99,1058.42,251.21750000000006,24.97,797,7.38,0.57,225.0,15.13,263,1500
Maharashtra,Amravati,2020,Rice,7.88,1021.63,251.21750000000006,24.27,815,7.27,0.57,231.0,15.39,273,3200
Maharashtra,Amravati,2020, Bajra,7.83,1032.64,251.21750000000006,24.8,790,7.22,0.59,228.0,14.89,272,1050
Maharashtra,Amravati,2020,Cotton,8.04,1045.95,251.21750000000006,24.49,816,7.27,0.56,225.0,15.0,271,620
Maharashtra,Amravati,2020,Sugarcane,8.1,1059.34,251.21750000000006,24.0,750,6.97,0.56,229.0,14.98,270,100
Maharashtra,Aurangabad,2020,Rice,7.58,1096.12,261.19,29.78,919,7.26,0.68,223.0,17.34,239,3000
Maharashtra,Aurangabad,2020,Cotton,7.52,1061.71,274.2,30.48,919,7.42,0.69,231.0,16.96,248,580
Maharashtra,Dhule,2020,Wheat,8.02,1474.63,389.22,32.52,662,7.43,0.62,271.0,19.52,269,1350
Maharashtra,Dhule,2020,Rice,8.04,1551.82,403.21,32.78,663,7.31,0.6,270.0,20.04,263,2900
Maharashtra,Dhule,2020, Bajra,7.87,1510.18,406.16,33.47,673,7.52,0.6,267.0,19.78,268,950
Maharashtra,Dhule,2020,Cotton,8.02,1460.36,390.44,32.09,679,7.27,0.62,262.0,19.21,268,550
Maharashtra,Dhule,2020,Sugarcane,8.03,1515.64,404.61,31.76,678,7.71,0.61,259.0,19.77,261,85
Maharashtra,Jalgaon,2020,Wheat,7.76,1047.79,361.79,16.44,725,7.32,0.46,206.0,14.11,297,1400
Maharashtra,Jalgaon,2020,Rice,7.66,1085.97,361.77,16.29,701,7.13,0.49,212.0,13.95,298,3000
Maharashtra,Jalgaon,2020, Bajra,7.78,1068.88,366.94,16.73,705,7.35,0.47,203.0,13.87,307,1000
Maharashtra,Jalgaon,2020,Cotton,7.91,1042.84,351.2,16.33,684,7.21,0.46,205.0,13.82,303,570
Maharashtra,Jalgaon,2020,Sugarcane,7.64,1064.14,352.57,16.16,696,7.26,0.48,212.0,13.49,290,90
Maharashtra,Nandurbar,2020,Wheat,7.56,1204.29,389.18,42.52,787,7.74,0.64,271.25,14.97,273,1300
Maharashtra,Nandurbar,2020,Rice,7.57,1267.34,403.17,42.86,788,7.61,0.62,271.25,15.36,266,3000
Maharashtra,Nandurbar,2020, Bajra,7.42,1233.33,406.12,43.77,800,7.83,0.62,271.25,15.16,272,1000
Maharashtra,Nandurbar,2020,Cotton,7.55,1192.64,390.41,41.96,806,7.57,0.64,271.25,14.72,271,550
Maharashtra,Nandurbar,2020,Sugarcane,7.56,1237.79,404.57,41.53,805,8.02,0.63,271.25,15.15,265,90
Maharashtra,Dhule,2018,Wheat,7.35,1479.73,521.5575,59.5,679,7.46,0.57,240.0,18.24,241,1300
Maharashtra,Dhule,2018,Rice,7.24,1428.29,521.5575,59.5,695,7.35,0.57,246.0,18.55,249,2850
Maharashtra,Dhule,2018, Bajra,7.2,1443.69,521.5575,59.5,674,7.3,0.59,244.0,17.94,249,950
Maharashtra,Dhule,2018,Cotton,7.39,1462.29,521.5575,59.5,695,7.35,0.56,239.0,18.08,248,540
Maharashtra,Dhule,2018,Sugarcane,7.45,1481.01,521.5575,59.5,639,7.05,0.56,244.0,18.06,247,85
Maharashtra,Jalgaon,2018,Wheat,7.33,1335.71,521.5575,59.5,687,7.56,0.49,236.0,13.16,319,1350
Maharashtra,Jalgaon,2018,Rice,7.48,1374.98,521.5575,59.5,664,7.1,0.51,225.0,13.44,306,2950
Maharashtra,Jalgaon,2018, Bajra,7.49,1329.63,521.5575,59.5,695,7.16,0.5,228.0,12.68,306,1000
Maharashtra,Jalgaon,2018,Cotton,7.42,1331.83,521.5575,59.5,657,7.25,0.51,233.0,13.15,317,560
Maharashtra,Jalgaon,2018,Sugarcane,7.52,1323.03,521.5575,59.5,684,7.17,0.5,223.0,13.17,316,90
Maharashtra,Ahmednagar,2019,Wheat,8.09,1357.61,251.21750000000006,22.99,658,7.92,0.66,226.0,22.73,214,1570
Maharashtra,Ahmednagar,2019,Rice,8.12,1397.81,251.21750000000006,22.3,606,7.76,0.67,214.0,23.05,213,3370
Maharashtra,Ahmednagar,2019, Bajra,8.2,1397.78,251.21750000000006,22.54,638,7.58,0.67,224.0,23.33,212,1180
Maharashtra,Ahmednagar,2019,Cotton,8.2,1397.81,251.21750000000006,22.43,609,7.64,0.66,220.0,23.5,223,630
Maharashtra,Ahmednagar,2019,Sugarcane,7.81,1490.17,251.21750000000006,22.69,623,7.86,0.7,227.0,22.55,217,107
Maharashtra,Akola,2019,Wheat,7.7,1389.67,264.88,41.6,721,7.36,0.5,189.0,20.4,277,1420
Maharashtra,Akola,2019,Rice,7.6,1440.31,264.87,41.22,697,7.17,0.53,195.0,20.17,278,3120
Maharashtra,Akola,2019, Bajra,7.72,1417.64,268.65,42.33,701,7.4,0.51,186.0,20.05,287,1070
Maharashtra,Akola,2019,Cotton,7.85,1383.1,257.13,41.31,680,7.25,0.5,189.0,19.98,283,590
Maharashtra,Akola,2019,Sugarcane,7.58,1411.36,258.14,40.88,692,7.3,0.52,195.0,19.51,271,97
Maharashtra,Amravati,2019,Wheat,8.0,1114.45,251.21750000000006,37.9,833,7.31,0.61,212.0,14.83,282,1520
Maharashtra,Amravati,2019,Rice,7.89,1075.71,251.21750000000006,36.85,852,7.2,0.61,218.0,15.09,293,3220
Maharashtra,Amravati,2019, Bajra,7.84,1087.3,251.21750000000006,37.64,826,7.15,0.63,215.0,14.59,293,1120
Maharashtra,Amravati,2019,Cotton,8.05,1101.32,251.21750000000006,37.17,853,7.2,0.6,212.0,14.7,291,610
Maharashtra,Amravati,2019,Sugarcane,8.11,1115.42,251.21750000000006,36.42,784,6.9,0.6,216.0,14.68,290,102
Maharashtra,Dhule,2019,Wheat,7.77,1536.32,392.34,37.22,634,7.85,0.69,226.0,17.48,235,1320
Maharashtra,Dhule,2019,Rice,7.93,1581.49,407.78,36.97,613,7.37,0.71,216.0,17.85,225,2880
Maharashtra,Dhule,2019, Bajra,7.95,1529.32,408.49,36.14,642,7.43,0.69,218.0,16.84,225,970
Maharashtra,Dhule,2019,Cotton,7.87,1531.85,428.1,37.85,607,7.53,0.72,223.0,17.46,233,550
Maharashtra,Dhule,2019,Sugarcane,7.97,1521.73,406.43,37.56,631,7.44,0.7,214.0,17.49,232,87
Maharashtra,Jalgaon,2019,Wheat,7.72,1120.36,375.44,15.73,707,7.57,0.55,271.25,18.93,277,1370
Maharashtra,Jalgaon,2019,Rice,7.73,1179.01,388.93,15.86,708,7.45,0.53,271.25,19.43,270,2980
Maharashtra,Jalgaon,2019, Bajra,7.58,1147.37,391.77,16.19,719,7.67,0.53,271.25,19.18,276,1020
Maharashtra,Jalgaon,2019,Cotton,7.72,1109.52,376.62,15.52,725,7.41,0.55,271.25,18.62,275,565
Maharashtra,Jalgaon,2019,Sugarcane,7.73,1151.52,390.28,15.5,724,7.86,0.54,271.25,19.17,269,92
Maharashtra,Nandurbar,2019,Wheat,7.64,1119.65,360.71,38.39,900,7.76,0.68,271.25,16.13,211,1280
Maharashtra,Nandurbar,2019,Rice,7.54,1160.45,360.69,38.04,870,7.56,0.72,271.25,15.95,212,3050
Maharashtra,Nandurbar,2019, Bajra,7.66,1142.19,365.84,39.07,875,7.8,0.69,271.25,15.86,219,1020
Maharashtra,Nandurbar,2019,Cotton,7.79,1114.36,350.15,38.12,849,7.65,0.68,271.25,15.8,215,560
Maharashtra,Nandurbar,2019,Sugarcane,7.52,1137.13,351.52,37.73,864,7.69,0.7,271.25,15.43,206,92
Maharashtra,Aurangabad,2019,Wheat,7.42,1062.45,251.21750000000006,15.5,717,7.66,0.7,241.0,17.38,256,1380
Maharashtra,Aurangabad,2019,Rice,7.58,1093.69,251.21750000000006,15.5,693,7.19,0.72,230.0,17.75,246,3050
Maharashtra,Aurangabad,2019, Bajra,7.59,1057.61,251.21750000000006,15.5,726,7.26,0.7,232.0,16.74,245,1020
Maharashtra,Aurangabad,2019,Cotton,7.52,1059.36,262.46,15.5,686,7.35,0.73,238.0,17.36,255,580
Maharashtra,Aurangabad,2019,Sugarcane,7.62,1052.36,251.21750000000006,15.5,714,7.27,0.71,228.0,17.39,253,92
Maharashtra,Ahmednagar,2017,Wheat,8.11,1544.17,456.64,15.5,454,7.81,0.65,220.0,21.41,218,1500
Maharashtra,Ahmednagar,2017,Rice,8.01,1600.43,456.62,15.5,439,7.61,0.68,227.0,21.17,219,3300
Maharashtra,Ahmednagar,2017, Bajra,8.13,1575.24,463.14,15.5,442,7.85,0.66,217.0,21.05,226,1120
Maharashtra,Ahmednagar,2017,Cotton,8.27,1536.86,443.27,15.5,428,7.7,0.65,220.0,20.97,223,600
Maharashtra,Ahmednagar,2017,Sugarcane,7.99,1568.26,445.01,15.5,436,7.74,0.67,227.0,20.48,213,100
Maharashtra,Akola,2017,Wheat,7.79,1717.77,515.65,59.5,727,7.54,0.54,209.0,19.84,263,1380
Maharashtra,Akola,2017,Rice,7.68,1658.06,518.71,59.5,744,7.43,0.54,215.0,20.18,273,3080
Maharashtra,Akola,2017, Bajra,7.64,1675.93,509.12,59.5,721,7.38,0.56,212.0,19.52,272,1050
Maharashtra,Akola,2017,Cotton,7.83,1697.53,508.18,59.5,745,7.43,0.53,209.0,19.67,271,570
Maharashtra,Akola,2017,Sugarcane,7.9,1719.26,521.5575,59.5,684,7.13,0.53,213.0,19.64,270,90
Maharashtra,Amravati,2017,Wheat,7.76,1751.1950000000002,385.52,59.5,853,7.73,0.64,221.0,14.77,288,1450
Maharashtra,Amravati,2017,Rice,7.92,1751.1950000000002,400.7,59.5,825,7.26,0.66,211.0,15.08,277,3150
Maharashtra,Amravati,2017, Bajra,7.94,1751.1950000000002,401.39,59.5,864,7.33,0.65,213.0,14.23,276,1080
Maharashtra,Amravati,2017,Cotton,7.86,1751.1950000000002,420.66,59.5,816,7.42,0.67,217.0,14.75,287,590
Maharashtra,Amravati,2017,Sugarcane,7.96,1751.1950000000002,399.37,59.5,850,7.34,0.65,209.0,14.78,286,95
Maharashtra,Aurangabad,2017,Wheat,8.12,1371.36,393.13,59.5,748,7.72,0.74,244.0,17.34,263,1350
Maharashtra,Aurangabad,2017,Rice,8.14,1443.15,407.26,59.5,750,7.59,0.72,243.0,17.8,256,2950
Maharashtra,Aurangabad,2017, Bajra,7.97,1404.42,410.24,59.5,761,7.81,0.71,241.0,17.57,262,1000
Maharashtra,Aurangabad,2017,Cotton,8.12,1358.09,394.37,59.5,767,7.55,0.74,237.0,17.06,261,560
Maharashtra,Aurangabad,2017,Sugarcane,8.13,1409.51,408.68,59.5,766,8.0,0.73,234.0,17.56,255,85
Maharashtra,Dhule,2017,Wheat,8.05,1551.76,445.06,59.5,636,7.33,0.66,271.25,18.4,270,1300
Maharashtra,Dhule,2017,Rice,8.08,1597.71,450.03,59.5,585,7.18,0.67,260.0,18.66,269,2800
Maharashtra,Dhule,2017, Bajra,8.16,1597.67,448.44,59.5,616,7.02,0.67,271.25,18.89,268,900
Maharashtra,Dhule,2017,Cotton,8.16,1597.71,445.77,59.5,588,7.07,0.66,267.0,19.02,282,540
Maharashtra,Dhule,2017,Sugarcane,7.77,1703.28,437.27,59.5,602,7.27,0.7,271.25,18.25,274,80
Maharashtra,Jalgaon,2017,Wheat,8.05,1313.46,406.93,59.5,703,7.47,0.5,219.0,14.41,279,1320
Maharashtra,Jalgaon,2017,Rice,7.95,1361.32,406.91,59.5,680,7.28,0.53,225.0,14.25,280,2900
Maharashtra,Jalgaon,2017, Bajra,8.07,1339.89,412.73,59.5,684,7.51,0.51,215.0,14.17,289,950
Maharashtra,Jalgaon,2017,Cotton,8.21,1307.25,395.02,59.5,664,7.36,0.5,218.0,14.11,285,550
Maharashtra,Jalgaon,2017,Sugarcane,7.93,1333.96,396.57,59.5,676,7.41,0.52,225.0,13.78,273,85
Maharashtra,Nagpur,2017,Wheat,8.03,1036.04,437.0,49.79,854,7.86,0.57,271.25,13.68,259,1300
Maharashtra,Nagpur,2017,Rice,8.05,1090.28,452.71,50.19,855,7.73,0.55,271.25,14.04,252,3050
Maharashtra,Nagpur,2017, Bajra,7.88,1061.02,456.02,51.25,868,7.95,0.55,271.25,13.86,258,1000
Maharashtra,Nagpur,2017,Cotton,8.03,1026.02,438.37,49.14,875,7.69,0.57,271.25,13.46,257,580
Maharashtra,Nagpur,2017,Sugarcane,8.04,1064.86,454.28,48.64,874,8.15,0.56,271.25,13.85,251,90
Maharashtra,Raigad,2017,Wheat,7.7,989.0,355.61,59.5,581,7.61,0.67,182.0,19.82,190,1150
Maharashtra,Raigad,2017,Rice,8.05,1023.97,361.9,59.5,549,7.57,0.68,188.0,19.7,196,3300
Maharashtra,Raigad,2017, Bajra,8.24,984.54,338.84,59.5,578,7.45,0.69,191.0,19.67,194,1150
Maharashtra,Raigad,2017,Cotton,8.06,1007.53,354.91,59.5,565,7.55,0.65,190.0,20.24,196,590
Maharashtra,Raigad,2017,Sugarcane,7.66,1014.14,360.5,59.5,554,7.48,0.7,187.0,20.04,195,100
Maharashtra,Ahmednagar,2015,Wheat,7.78,1272.45,458.83,59.5,856,7.75,0.415,230.0,20.95,265,1450
Maharashtra,Ahmednagar,2015,Rice,7.82,1301.91,470.97,59.5,864,8.12,0.415,227.0,21.4,256,3200
Maharashtra,Ahmednagar,2015, Bajra,8.03,1254.45,468.45,59.5,840,8.07,0.415,230.0,21.4,257,1100
Maharashtra,Ahmednagar,2015,Cotton,8.01,1283.36,468.34,59.5,890,8.04,0.415,233.0,21.08,260,580
Maharashtra,Ahmednagar,2015,Sugarcane,7.91,1264.34,472.87,59.5,837,8.04,0.42,228.0,21.1,263,95
Maharashtra,Akola,2015,Wheat,7.99,1258.4,468.58,59.5,862,8.06,0.42,222.0,21.41,259,1350
Maharashtra,Akola,2015,Rice,7.89,1309.53,456.53,59.5,850,7.76,0.43,232.0,21.37,262,3000
Maharashtra,Akola,2015, Bajra,8.01,1288.94,463.08,59.5,855,8.0,0.415,222.0,21.25,270,1000
Maharashtra,Akola,2015,Cotton,8.15,1257.56,443.11,59.5,830,7.84,0.415,225.0,21.17,266,550
Maharashtra,Akola,2015,Sugarcane,7.87,1283.23,444.86,59.5,845,7.89,0.42,232.0,20.67,255,85
Maharashtra,Amravati,2015,Wheat,7.96,1075.9,397.11,59.5,871,7.05,0.61,247.0,16.13,236,1400
Maharashtra,Amravati,2015,Rice,7.85,1038.5,399.46,59.5,892,6.95,0.61,254.0,16.41,244,3100
Maharashtra,Amravati,2015, Bajra,7.8,1049.7,392.08,59.5,864,6.9,0.63,251.0,15.87,244,1000
Maharashtra,Amravati,2015,Cotton,8.01,1063.23,391.36,59.5,892,6.95,0.6,246.0,15.99,243,570
Maharashtra,Amravati,2015,Sugarcane,8.07,1076.84,407.47,59.5,820,6.66,0.6,252.0,15.97,242,90
Maharashtra,Aurangabad,2015,Wheat,7.56,1253.73,446.95,59.5,698,7.97,0.65,239.0,14.87,257,1300
Maharashtra,Aurangabad,2015,Rice,7.71,1290.6,464.54,59.5,675,7.49,0.67,228.0,15.19,247,2900
Maharashtra,Aurangabad,2015, Bajra,7.73,1248.02,465.35,59.5,706,7.55,0.66,231.0,14.32,246,950
Maharashtra,Aurangabad,2015,Cotton,7.66,1250.09,487.69,59.5,668,7.66,0.68,236.0,14.85,256,540
Maharashtra,Aurangabad,2015,Sugarcane,7.75,1241.83,463.0,59.5,695,7.56,0.66,226.0,14.88,255,80
Maharashtra,Dhule,2015,Wheat,7.96,1251.27,457.75,59.5,601,7.71,0.5,271.25,18.04,261,1250
Maharashtra,Dhule,2015,Rice,7.97,1316.78,474.2,59.5,602,7.58,0.48,271.25,18.51,254,2750
Maharashtra,Dhule,2015, Bajra,7.81,1281.44,477.67,59.5,611,7.8,0.48,271.25,18.28,260,900
Maharashtra,Dhule,2015,Cotton,7.96,1239.16,459.19,59.5,616,7.54,0.49,268.0,17.75,259,520
Maharashtra,Dhule,2015,Sugarcane,7.97,1286.08,475.85,59.5,615,7.99,0.49,265.0,18.26,253,75
Maharashtra,Jalgaon,2015,Wheat,7.95,914.63,384.13,59.5,707,6.99,0.53,256.0,12.2,262,1280
Maharashtra,Jalgaon,2015,Rice,7.98,941.71,388.42,59.5,651,6.85,0.54,243.0,12.37,261,2800
Maharashtra,Jalgaon,2015, Bajra,8.06,941.69,387.04,59.5,685,6.69,0.54,254.0,12.53,261,900
Maharashtra,Jalgaon,2015,Cotton,8.06,941.71,384.74,59.5,654,6.74,0.53,250.0,12.61,273,530
Maharashtra,Jalgaon,2015,Sugarcane,7.67,1003.93,377.4,59.5,670,6.93,0.56,257.0,12.1,266,80
Maharashtra,Nandurbar,2015,Wheat,7.96,796.53,332.12,40.18,846,7.79,0.51,271.25,14.63,221,1150
Maharashtra,Nandurbar,2015,Rice,8.14,812.53,338.79,40.68,854,8.05,0.51,271.25,15.05,215,2800
Maharashtra,Nandurbar,2015, Bajra,8.05,808.14,327.99,40.51,871,7.94,0.5,271.25,14.51,229,900
Maharashtra,Nandurbar,2015,Cotton,7.88,818.08,331.35,40.58,862,8.26,0.51,271.25,15.45,222,500
Maharashtra,Nandurbar,2015,Sugarcane,7.91,799.38,333.25,39.87,882,7.78,0.51,271.25,15.25,229,80
Gujarat,Banaskantha,2022,Wheat,7.65,1375.14,396.17,35.95,695,7.32,0.7,226.0,21.14,260,2890
Gujarat,Banaskantha,2022,Rice,7.54,1327.34,398.51,34.95,711,7.21,0.7,232.0,21.51,270,2050
Gujarat,Banaskantha,2022, Bajra,7.5,1341.65,391.15,35.7,690,7.16,0.72,229.0,20.8,269,1600
Gujarat,Banaskantha,2022,Cotton,7.69,1358.94,390.43,35.25,712,7.21,0.69,226.0,20.96,268,1950
Gujarat,Banaskantha,2022,Sugarcane,7.76,1376.34,406.5,34.55,654,6.91,0.69,230.0,20.93,267,671
Gujarat,Anand,2022,Wheat,7.68,1250.02,403.88,48.29,691,7.93,0.7,225.0,19.29,265,3150
Gujarat,Anand,2022,Rice,7.83,1286.78,419.78,47.97,668,7.45,0.72,215.0,19.7,255,2700
Gujarat,Anand,2022, Bajra,7.85,1244.33,420.51,46.88,699,7.51,0.7,217.0,18.58,254,1620
Gujarat,Anand,2022,Cotton,7.77,1246.39,440.69,49.1,661,7.62,0.73,222.0,19.27,264,2030
Gujarat,Anand,2022,Sugarcane,7.87,1238.15,418.38,48.72,688,7.52,0.71,213.0,19.3,263,1120
Gujarat,Rajkot,2022,Wheat,7.84,1399.71,402.01,38.31,697,7.42,0.82,228.0,20.61,260,2500
Gujarat,Rajkot,2022,Rice,7.85,1472.99,416.45,38.62,698,7.3,0.8,227.0,21.16,253,1680
Gujarat,Rajkot,2022, Bajra,7.69,1433.46,419.5,39.44,709,7.51,0.79,225.0,20.89,259,1400
Gujarat,Rajkot,2022,Cotton,7.84,1386.17,403.27,37.81,715,7.26,0.82,221.0,20.28,258,2150
Gujarat,Rajkot,2022,Sugarcane,7.85,1438.65,417.9,37.43,714,7.7,0.81,218.0,20.87,252,1302
Gujarat,Bharuch,2022,Wheat,7.76,1226.55,394.45,30.46,919,7.56,0.63,234.0,21.95,244,2800
Gujarat,Bharuch,2022,Rice,7.79,1262.88,398.86,29.54,847,7.41,0.64,222.0,22.25,244,2720
Gujarat,Bharuch,2022, Bajra,7.87,1262.84,397.44,29.86,892,7.24,0.64,232.0,22.53,243,1630
Gujarat,Bharuch,2022,Cotton,7.86,1262.88,395.08,29.71,852,7.29,0.63,228.0,22.69,255,2070
Gujarat,Bharuch,2022,Sugarcane,7.49,1346.32,387.54,30.05,872,7.5,0.67,235.0,21.76,248,1120
Gujarat,Ahmedabad,2022,Wheat,7.8,1138.86,353.33,39.0,638,7.97,0.58,193.0,18.02,206,2700
Gujarat,Ahmedabad,2022,Rice,8.15,1179.14,359.57,41.31,602,7.93,0.59,200.0,17.92,213,1750
Gujarat,Ahmedabad,2022, Bajra,8.34,1133.72,336.66,38.86,634,7.81,0.6,203.0,17.89,210,1450
Gujarat,Ahmedabad,2022,Cotton,8.17,1160.21,352.62,39.65,620,7.91,0.57,202.0,18.41,212,1940
Gujarat,Ahmedabad,2022,Sugarcane,7.76,1167.82,358.18,40.1,608,7.84,0.6,198.0,18.23,212,1260
Gujarat,Kheda,2022,Wheat,7.57,1298.04,383.32,42.02,681,7.51,0.68,208.0,20.16,266,2940
Gujarat,Kheda,2022,Rice,7.61,1328.09,393.46,42.57,688,7.88,0.67,206.0,20.6,257,2680
Gujarat,Kheda,2022, Bajra,7.82,1279.68,391.36,41.74,669,7.82,0.68,208.0,20.6,258,1610
Gujarat,Kheda,2022,Cotton,7.79,1309.17,391.26,42.27,708,7.8,0.67,211.0,20.29,261,2060
Gujarat,Kheda,2022,Sugarcane,7.7,1289.76,395.05,41.89,666,7.8,0.69,207.0,20.31,264,1160
Gujarat,Surendranagar,2022,Wheat,7.9,1310.0,420.0,37.0,560,7.5,0.74,205.0,19.8,252,2600
Gujarat,Surendranagar,2022,Rice,7.95,1283.73,424.36,36.7,560,7.38,0.73,206.0,19.44,250,1780
Gujarat,Surendranagar,2022, Bajra,8.13,1309.51,432.88,37.17,566,7.63,0.73,206.0,19.99,243,1430
Gujarat,Surendranagar,2022,Cotton,8.04,1302.44,419.09,37.01,576,7.53,0.71,213.0,19.28,259,1950
Gujarat,Surendranagar,2022,Sugarcane,7.87,1318.46,423.37,37.07,571,7.83,0.73,209.0,20.53,251,1132
Gujarat,Bhavnagar,2022,Wheat,7.53,1191.45,422.02,33.07,603,7.41,0.61,205.0,21.14,262,2400
